QUERYID	BIN_ID	GCF_final	CONTIG	LENGTH	NB_GENE	TYPE	detector	deepbgc_score	cat_name	anno_taxon	in_curated_db	in_HRGM	novel
opera_contig_1_121145-201710.1	TLL97_bin.127	10955	opera_contig_1	80565	61	Saccharide	deepbgc	0.92476	MAG	Holdemanella_SGB_6816	FALSE	TRUE	FALSE
opera_contig_1_141800-160172.1	TLL102_bin.49	10956	opera_contig_1	18372	17	Saccharide	deepbgc	0.84799	MAG	RUG472_sp900545265_SGB_14291	FALSE	FALSE	TRUE
opera_contig_1_146593-152898.1	TLL17_bin.41	10957	opera_contig_1	6305	6	Saccharide	deepbgc	0.69695	Isolate	Collinsella_sp002232035	FALSE	FALSE	TRUE
opera_contig_1_175305-184588.1	TLL01_bin.33	6804	opera_contig_1	9283	9	Polyketide	deepbgc	0.69721	MAG	Veillonellaceae_SGB_5849	FALSE	FALSE	TRUE
opera_contig_1_196339-201512.1	TLL42_bin.21	15473	opera_contig_1	5173	5	Terpene	deepbgc	0.69289	MAG	Ruminococcaceae_SGB_15291	FALSE	FALSE	TRUE
opera_contig_1_198-3998.1	TLL19_bin.23	6805	opera_contig_1	3800	3	Polyketide	deepbgc	0.65559	Novel	NS_375	FALSE	FALSE	TRUE
opera_contig_1_23244-45188.1	TLL17_bin.41	2609	opera_contig_1	21944	21	RiPP	deepbgc	0.676	Isolate	Collinsella_sp002232035	FALSE	FALSE	TRUE
opera_contig_1_289876-299598.1	TLL96_bin.55	2610	opera_contig_1	9722	11	RiPP	deepbgc	0.79338	MAG	Eubacteriaceae_SGB_4326	FALSE	FALSE	TRUE
opera_contig_1_316625-329930.1	TLL25_bin.86	2611	opera_contig_1	13305	12	RiPP	deepbgc	0.80911	MAG	Faecalibacterium_SGB_15346	FALSE	FALSE	TRUE
opera_contig_1_321574-326925.1	TLL35_bin.22	6012	opera_contig_1	5351	6	Polyketide	deepbgc	0.82024	Isolate	Escherichia_flexneri	FALSE	FALSE	TRUE
opera_contig_1_327837-335399.1	TLL106_bin.69	10958	opera_contig_1	7562	10	Saccharide	deepbgc	0.9089	Isolate	Collinsella_sp002232035	FALSE	FALSE	TRUE
opera_contig_1_354928-370926.1	TLL10_bin.48	10959	opera_contig_1	15998	15	Saccharide	deepbgc	0.94313	Isolate	Escherichia_flexneri	FALSE	FALSE	TRUE
opera_contig_1_367881-371412.1	TLL99_bin.56	10960	opera_contig_1	3531	2	Saccharide	deepbgc	0.56885	MAG	Faecalibacterium_SGB_15346	FALSE	FALSE	TRUE
opera_contig_1_420610-438055.1	TLL15_bin.32	10961	opera_contig_1	17445	21	Saccharide	deepbgc	0.95469	Novel	NS_671	FALSE	TRUE	FALSE
opera_contig_1_51813-60452.1	TLL10_bin.48	2612	opera_contig_1	8639	10	RiPP	deepbgc	0.55994	Isolate	Escherichia_flexneri	FALSE	FALSE	TRUE
