BIN_ID	rep_cluster	GCF_final	CONTIG	LENGTH	NB_GENE	TYPE	detector	deepbgc_score	cat_name	anno_taxon	rep_cluster_fmt	in_HRGM	in_curated_db	novel
TLL01_bin.12	opera_contig_131284_94-8057.1	9221	opera_contig_131284	7963	7	Saccharide	deepbgc	0.63513	Isolate	Mitsuokella_multacida	opera_contig_131284_94-8057	FALSE	FALSE	TRUE
TLL01_bin.12	opera_contig_131278_1-3163.1	9220	opera_contig_131278	3162	3	Saccharide	deepbgc	0.64166	Isolate	Mitsuokella_multacida	opera_contig_131278_1-3163	FALSE	FALSE	TRUE
TLL01_bin.12	opera_contig_131272_2696-5350.1	1255	opera_contig_131272	2654	5	RiPP	deepbgc	0.59959	Isolate	Mitsuokella_multacida	opera_contig_131272_2696-5350	FALSE	FALSE	TRUE
TLL01_bin.12	TLL01_bin.12_c00123_opera_c...region001	492	opera_contig_131263	11564	14	sactipeptide	antismash	NA	Isolate	Mitsuokella_multacida	TLL01_bin.12_c00123_opera_c...region001	TRUE	FALSE	FALSE
TLL01_bin.12	opera_contig_1844_0-5993.1	6638	opera_contig_1844	5993	6	Polyketide	deepbgc	0.65705	Isolate	Mitsuokella_multacida	opera_contig_1844_0-5993	FALSE	FALSE	TRUE
TLL01_bin.12	opera_contig_1339_0-3775.1	6127	opera_contig_1339	3775	4	Polyketide	deepbgc	0.57392	Isolate	Mitsuokella_multacida	opera_contig_1339_0-3775	FALSE	FALSE	TRUE
TLL01_bin.12	opera_contig_1686_2015-5653.1	14901	opera_contig_1686	3638	5	Other	deepbgc	0.5615	Isolate	Mitsuokella_multacida	opera_contig_1686_2015-5653	FALSE	FALSE	TRUE
TLL01_bin.12	opera_contig_1174_757-7253.1	962	opera_contig_1174	6496	6	RiPP	deepbgc	0.62869	Isolate	Mitsuokella_multacida	opera_contig_1174_757-7253	FALSE	FALSE	TRUE
TLL01_bin.13	opera_contig_133550_83132-93928.1	1278	opera_contig_133550	10796	14	RiPP	deepbgc	0.82856	Isolate	Enterococcus_A_avium	opera_contig_133550_83132-93928	FALSE	FALSE	TRUE
TLL01_bin.13	opera_contig_133547_580-20527.1	9245	opera_contig_133547	19947	17	Saccharide	deepbgc	0.94007	Isolate	Enterococcus_A_avium	opera_contig_133547_580-20527	FALSE	FALSE	TRUE
TLL01_bin.13	opera_contig_133559_9905-15696.1	6123	opera_contig_133559	5791	6	Polyketide	deepbgc	0.59147	Isolate	Enterococcus_A_avium	opera_contig_133559_9905-15696	FALSE	FALSE	TRUE
TLL01_bin.13	opera_contig_2882_12425-17947.1	7403	opera_contig_2882	5522	8	Polyketide	deepbgc	0.60973	Isolate	Enterococcus_A_avium	opera_contig_2882_12425-17947	FALSE	FALSE	TRUE
